time, leader_x, leader_y, follower_x, follower_y
11040,0.3613345588309563,-0.00027723793965263977,0.05321071416021749,0.00938147058003444
11072,0.3613345739620717,-0.0002772412517270945,0.05293315841205272,0.00940719994411265
11104,0.36133458538906926,-0.00027724358644312544,0.05280520538174737,0.009407850704288763
11136,0.3613345939274749,-0.00027724508250880276,0.05289997968945312,0.009403379063432691
11168,0.36133460019229036,-0.0002772458429000623,0.05302918987440517,0.009413474311410331
11200,0.36133460468647166,-0.00027724597808438407,0.05306410752569936,0.009415369666861705
11232,0.36133460779447724,-0.00027724557662335667,0.05306460882537271,0.009414880158743368
11264,0.3613346098288439,-0.00027724472560044524,0.05306218832109784,0.009414130307234394
11296,0.361334611007582,-0.00027724347783373313,0.05306018496213455,0.00941352663634839
11328,0.3613346115313212,-0.0002772419051971928,0.053058625505585766,0.009413055580702585
11360,0.36004245526138545,0.0008112533898770762,0.05305743697962974,0.009412692328872284
11392,0.3580418882363285,0.0024967571564477723,0.05305655329340259,0.009412416120688742
11424,0.3553239745901629,0.004786677767637999,0.05305591889403105,0.009412210095409525
11456,0.352223461491128,0.007398983576325205,0.053055487659974705,0.009412060610640913
11488,0.3493494493185201,0.009820382111149608,0.05305522145443859,0.009411956628463539
11520,0.34648495429158777,0.012233645686252974,0.053055089029194924,0.009411889248671599
11552,0.34361760479748377,0.014649175246977113,0.053054994150549206,0.009411829025328935
11584,0.3407482650203765,0.01706620731233325,0.05305491669318382,0.009411772445436098
11616,0.33787783576104663,0.019483947055049022,0.05305485338466671,0.00941172048140732
11648,0.3350067768967822,0.021901972536141408,0.053054801679010256,0.009411673577239486
11680,0.33213529271588516,0.024320079056700722,0.05280297026384872,0.009381018737752454
11712,0.32926342057077923,0.02673820493313571,0.052546069658555454,0.009363714265084115
11744,0.3263911504020758,0.029156331355378276,0.05244474402091192,0.009369111507978825
11776,0.32351844964518234,0.03157446168349302,0.05257087014812718,0.009370843520441485
11808,0.3206452414190906,0.03399264012946291,0.05271510493582297,0.009355948278269396
11840,0.31777147450618154,0.036410893231627925,0.052755428787795385,0.009351474184851266
11872,0.3148970691243547,0.038829275575899595,0.05275602210722102,0.009351604453262167
11904,0.31209383957306924,0.04118736300227404,0.052753522408092134,0.009352123906808747
11936,0.30930564150532924,0.04353240997262376,0.05275146882615632,0.009352541587525144
11968,0.30649773233841354,0.045893640309860366,0.05274988633831788,0.009352860229420617
12000,0.3036557595220021,0.04828311779062901,0.05274869708785079,0.009353097726543776
12032,0.3007952086139144,0.05068781716771972,0.05274783059477329,0.009353269457426861
12064,0.29792483943435005,0.053100381024361286,0.052747227855114,0.009353387980719823
12096,0.2950491159326188,0.05551707142662474,0.05274683969325656,0.009353463550905439
12128,0.2921702743450589,0.05793602889937522,0.052746625636538,0.009353504483100366
12160,0.2892894426018167,0.06035633002632175,0.05274651884021437,0.009353528255094069
12192,0.286407169045012,0.06277754223006543,0.05274643439797937,0.009353557850901889
12224,0.2835237649037341,0.06519943549930526,0.052746367205830424,0.009353590046694848
12256,0.28063938299840857,0.06762191561965564,0.05274631391216812,0.009353622664019222
12288,0.2777541359435322,0.07004492456090351,0.05274627174631115,0.009353654291981105
12320,0.27486812173647046,0.07246841842568438,0.05251181311673081,0.009387412883844112
12352,0.2719814006919109,0.07489238635506669,0.05222788865533243,0.009414646044435543
12384,0.270177735243301,0.07647609042568751,0.04849052549447046,0.009460906308905935
12416,0.26778235857225335,0.07844275164914259,0.04591501814990088,0.00959415124081023
12448,0.264921951091533,0.08078816645457829,0.044596544721521025,0.009649349723118322
12480,0.26173476274913104,0.08340327968071673,0.044049911017840365,0.009671970347852046
12512,0.25880794639794497,0.08580540295646343,0.04386061635055709,0.009679567339207456
12544,0.25589606090590733,0.08819609535767883,0.04374148602638873,0.009684298385106399
12576,0.2529831356304675,0.09058840274955277,0.04371975070257711,0.009684937191596936
12608,0.25006910325408194,0.09298230410513726,0.04370635662200781,0.009685281590812651
12640,0.24715457965540694,0.09537722992072646,0.043695879010475225,0.00968554134883074
12672,0.24423997183255855,0.09777279439530864,0.04368752256879953,0.009685743448722632
12704,0.24132550499118693,0.10016877117352381,0.043680848778036706,0.009685900878611339
12736,0.23841134307840758,0.10256499236822555,0.04367551832970907,0.009686023406866959
12768,0.23549760736544084,0.10496133130068654,0.043671260827770994,0.009686118684718525
12800,0.23258440524352403,0.10735767715429938,0.04366786031723972,0.009686192713004279
12832,0.2296718002112929,0.10975395812115445,0.04366514427395882,0.009686250193527163
12864,0.2267598646983971,0.11215009675770772,0.043662974900608956,0.009686294803980916
12896,0.22384867151552673,0.11454601579894111,0.04366124213547143,0.00968632941751484
12928,0.2209382542719581,0.11694166982759278,0.04365985806064127,0.009686356276361734
12960,0.21802865650927952,0.11933700423486608,0.043579958473953795,0.00968829686769832
12992,0.21511991068267122,0.12173197185989619,0.04357986230100242,0.009685713226959023
13024,0.211417060068267,0.1248407592873008,0.042674518450237155,0.009625782679520752
13056,0.20808272930366556,0.12752373352782123,0.04248657793492887,0.00961406246898865
13088,0.2049528516434494,0.13004233235916687,0.04447666108016129,0.009802129006635863
13120,0.20192447564120347,0.13248046369854208,0.04508126143300877,0.009869400675505286
13152,0.198946902010183,0.13487885369086763,0.04563735995079336,0.009931121262744114
13184,0.1959949684358208,0.13725760904826123,0.045377245959975915,0.00990471393815364
13216,0.19305613066684482,0.13962666464379145,0.04521244189250991,0.009888248436385002
13248,0.19012411911249288,0.1419909063526267,0.04520528547028803,0.009888488338381726
13280,0.18719579148400453,0.14435271203025288,0.04520276831051305,0.009889020874088454
13312,0.18426952101017008,0.14671325226558973,0.0452009146494401,0.009889460721022151
13344,0.18134446622702957,0.14907307930084793,0.04519942936754474,0.009889809620981977
13376,0.1784201741148365,0.15143244635121644,0.045198233566460425,0.009890085767238205
13408,0.17549634818149312,0.15379149370708922,0.045197271562571764,0.009890304410441437
13440,0.1725728032333334,0.15615028420682686,0.045196498369280545,0.009890477617449994
13472,0.16964940950215865,0.15850884707580107,0.045195877366754005,0.009890614902378627
13504,0.16672603103487318,0.16086722655597116,0.04519537887014604,0.009890723776632502
13536,0.16380256255117423,0.16322545130070143,0.045194978846480265,0.009890810170971015
13568,0.16087891610364385,0.16558354417797622,0.045194657886494884,0.009890878771704704
13600,0.1579549797485587,0.16794155487603402,0.04519440035609937,0.009890933285476583
13632,0.15503067685083638,0.170299511571434,0.045396792653976656,0.009909745847662185
13664,0.1521059059428327,0.17265746879032434,0.0456950576080029,0.00995140645785404
13696,0.14918058976478749,0.17501546759983877,0.04603264305183887,0.010021367535579417
13728,0.14625466685336744,0.17737354196419333,0.046372530467343326,0.010117278544151977
13760,0.14340266515318614,0.1796716236450708,0.048534035427922624,0.010913694514192057
13792,0.14056728116638176,0.18195591159592953,0.04941977522457637,0.011273016363839379
13824,0.1377130758541171,0.18425495941603676,0.0500989412524898,0.01155285765410828
13856,0.13482230986455995,0.18658305043029516,0.04985657837195226,0.011461672061852864
13888,0.13191168258521863,0.1889267294205644,0.04971066224287538,0.011407716309021874
13920,0.12899050411771681,0.19127850592877244,0.049700958089021315,0.011407534653355554
13952,0.12606361793564097,0.19363449447292252,0.04969665178176096,0.011408816864660547
13984,0.12313342024340519,0.1959927858316816,0.04969350261558359,0.011409958608134292
14016,0.12020112918713745,0.1983524238269963,0.0496910890933675,0.01141090756619489
14048,0.11726733681540759,0.2007129599387874,0.04968921251635322,0.011411677358948888
14080,0.11433236388088833,0.2030741672514785,0.049687707817141616,0.011412281990974401
14112,0.11139640273199353,0.205435924861224,0.04968650195718201,0.011412756949043383
14144,0.10845955088730845,0.20779819039941877,0.04968553653366245,0.011413130260727138
14176,0.10552189800863113,0.21016092972338493,0.04968476416750669,0.011413423805906594
14208,0.10258353466513885,0.21252410931415508,0.04968414658322328,0.011413654706564594
14240,0.09964451968390793,0.21488772207583873,0.04968365291829726,0.011413836370250459
14272,0.09670493544068716,0.2172517425032685,0.049683258363885444,0.011413979317035718
14304,0.09376487750176411,0.219616134434773,0.04981670536366146,0.011463021079418635
14336,0.0908244169382467,0.22198088088375273,0.04999171285113507,0.011536305973257844
14368,0.0878836483702501,0.22434594503998984,0.05017353186499549,0.01162682059917645
14400,0.08494266792116026,0.22671128743311683,0.05033949123259072,0.01172436646712794
14432,0.08200158525006852,0.22907685584722318,0.05213003447769326,0.012999054467686282
14464,0.07906048141531193,0.23144261875531,0.05274789523801964,0.01347001843147576
14496,0.07611945743934069,0.23380852597515997,0.053252464990716994,0.013859754998091837
